name,ilce_adi,LST_C,NDVI_L8,NDBI_L8
Adnan Süvari Mahallesi,Karabağlar,35.19864963991393,0.1181175007042623,-0.0196877774634285
Ahmet Efendi Mahallesi,Çiğli,38.90562522406004,0.1054158995750534,-0.0047971685275226
Ahmet Taner Kışlalı Mahallesi,Çiğli,36.51867985433667,0.1530274659549581,-0.0325342810189383
Ahmetbeyler Mahallesi,Bergama,35.95819070000203,0.1872328251799177,-0.0160671534520536
Ahmetbeyli Mahallesi,Menderes,29.96491108069014,0.2533101344263855,-0.0990144290814142
Ahmetler Mahallesi,Kiraz,28.89527975925245,0.2492931467918008,-0.0415264623445853
Ahmetli Mahallesi,Torbalı,30.014638369732317,0.246105120203897,-0.1002177798302805
Ahıhıdır Mahallesi,Menemen,34.9977246897069,0.2246390686433435,-0.0633456857072147
Akalan Mahallesi,Kemalpaşa,34.20516939000148,0.2113577060402984,-0.0494146041636831
Akarca Mahallesi,Seferihisar,32.251350048625895,0.1643949885595057,-0.0193304660212151
Akarcalı Mahallesi,Konak,36.63605824751539,0.0986257756937598,0.0056546104303567
Akdeniz Mahallesi,Konak,34.96496218662267,0.0593731511655791,0.0094704700799501
Akkoyunlu Mahallesi,Tire,37.69267626231572,0.2162184640650249,-0.0266387021512734
Akmescit Mahallesi,Tire,31.682704138799405,0.2064765226907318,-0.0366026321160416
Akpınar Mahallesi,Kiraz,29.839154927403943,0.2397019338347183,-0.0595481764483561
Aksoy Mahallesi,Karşıyaka,33.62647457100275,0.1030193782858706,0.0062732992067018
Aktepe Mahallesi,Beydağ,35.65132172005856,0.1476639602906816,-0.0114132246324654
Akyurt Mahallesi,Tire,29.86257951520427,0.2576320304020811,-0.1105282107290729
Akçaköy Mahallesi,Menderes,39.64178005592096,0.1905078981468967,-0.0132147930401457
Akçaşehir Mahallesi,Tire,30.910678626486643,0.246162505109592,-0.0969378962255278
Akçenger Mahallesi,Bergama,34.274997531721226,0.2215477020229758,-0.0382271492695277
Akın Simav Mahallesi,Konak,35.12058107216103,0.0765902227948701,0.0145704469424116
Akıncı Mahallesi,Konak,36.13102125488704,0.0603210263360002,0.0337630228452688
Akıncılar Mahallesi,Ödemiş,37.293001779953634,0.1141648143342602,0.004832731934650451
Alacalar Mahallesi,Bergama,35.50283124012708,0.2298741095415602,-0.0628640639600735
Alacalı Mahallesi,Tire,33.959813735220024,0.2166015136722326,-0.0370104959511647
Alakeçili Mahallesi,Beydağ,33.5136616573547,0.2566327494309027,-0.0886447666122343
Alaniçi Mahallesi,Menemen,32.07450504016667,0.2012666495209617,-0.0442782402900512
Alanköy Mahallesi,Bayındır,31.19088506066205,0.2498078904503522,-0.0804556066588146
Alankıyı Mahallesi,Bayındır,25.80199660332081,0.2791810512462574,-0.1363119633176167
Alaybey Mahallesi,Karşıyaka,35.81672589303898,0.0676562006015812,0.0322745129555635
Alaylı Mahallesi,Tire,29.410337321198668,0.2672097888590305,-0.1266399852221708
Alaçatı Mahallesi,Çeşme,34.2562347442347,0.1448352034399063,0.0207900047215768
Alaşarlı Mahallesi,Ödemiş,35.73117721066314,0.2414683342021242,-0.0671048008868948
Alhatlı Mahallesi,Bergama,31.976922872127165,0.2282404001115092,-0.0677011829850753
Ali Fuat Cebesoy Mahallesi,Karabağlar,35.85977929855808,0.0883290541839198,0.0067450090884416
Ali Fuat Erden Mahallesi,Karabağlar,34.71880586723326,0.1301487755405055,-0.0140935529397213
Ali Reis Mahallesi,Konak,34.782283840108605,0.0887007867933203,0.0245030395416336
Aliağa Organize Sanayi Bölgesi,Aliağa,36.21968929910953,0.0959677812732099,0.0116679093950554
Alibeyli Mahallesi,Bergama,38.14730924012414,0.1847315169957071,0.0048735856835292
Alpaslan Mahallesi,Bayraklı,35.902437328184966,0.080089265171484,0.0234518935836531
Alpkent Mahallesi,Torbalı,35.0285925595906,0.1090596786338569,0.0091628061639551
Alsancak Mahallesi,Konak,35.29978737148124,0.0621949882525755,0.025682701818122
Altay Mahallesi,Konak,34.51669056343914,0.1215734392198359,-0.0097687430347305
Altıevler Mahallesi,Narlıdere,33.34787442596526,0.1854813068635788,-0.0567437659024514
Altınkum Mahallesi,Çeşme,32.49812257789972,0.1541671827177261,0.0033849466100838
Altınoluk Mahallesi,Kiraz,27.8385797544846,0.2628184606133876,-0.0834477432497578
Altınordu Mahallesi,Konak,34.20058462949646,0.0921139144881664,0.0297715141431366
Altıntaş Mahallesi,Urla,34.61535163411454,0.10390287957725414,0.014406407960649303
Altıntepe Mahallesi,Menderes,36.11324712509132,0.1880278888237034,-0.039820606759335
Altınyunus Mahallesi,Çeşme,29.367679840113706,0.1617219802018199,-0.047021358006866
