||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İzmir(Bergama/Bergama Bel./Küçükkaya Mah.)-193467|614.0|
|İzmir(Bergama/Bergama Bel./Kurfallı Mah.)-193803|242.0|
|İzmir(Bergama/Bergama Bel./Kurtuluş Mah.)-41369|2088.0|
|İzmir(Bergama/Bergama Bel./Mahmudiye Mah.)-193487|196.0|
|İzmir(Bergama/Bergama Bel./Maltepe Mah.)-41370|10899.0|
|İzmir(Bergama/Bergama Bel./Maruflar Mah.)-193493|40.0|
|İzmir(Bergama/Bergama Bel./Muratlar Mah.)-193581|77.0|
|İzmir(Bergama/Bergama Bel./Narlıca Mah.)-193495|758.0|
|İzmir(Bergama/Bergama Bel./Okçular Mah.)-193653|205.0|
|İzmir(Bergama/Bergama Bel./Öksüzler Mah.)-193775|148.0|
|İzmir(Bergama/Bergama Bel./Örenli Mah.)-193505|364.0|
|İzmir(Bergama/Bergama Bel./Örlemiş Mah.)-193809|266.0|
|İzmir(Bergama/Bergama Bel./Oruşlar Mah.)-193719|359.0|
|İzmir(Bergama/Bergama Bel./Ovacık Mah.)-193499|271.0|
|İzmir(Bergama/Bergama Bel./Paşaköy Mah.)-193509|115.0|
|İzmir(Bergama/Bergama Bel./Pınarköy Mah.)-193511|853.0|
|İzmir(Bergama/Bergama Bel./Pirveliler Mah.)-193515|130.0|
|İzmir(Bergama/Bergama Bel./Rahmanlar Mah.)-193779|92.0|
|İzmir(Bergama/Bergama Bel./Sağancı Mah.)-193517|291.0|
|İzmir(Bergama/Bergama Bel./Sarıcalar Mah.)-193585|228.0|
|İzmir(Bergama/Bergama Bel./Sarıcaoğlu Mah.)-193721|96.0|
|İzmir(Bergama/Bergama Bel./Sarıdere Mah.)-193813|459.0|
|İzmir(Bergama/Bergama Bel./Seklik Mah.)-193783|288.0|
|İzmir(Bergama/Bergama Bel./Selçuk Mah.)-41371|1711.0|
|İzmir(Bergama/Bergama Bel./Sindel Mah.)-193519|164.0|
|İzmir(Bergama/Bergama Bel./Süleymanlı Mah.)-193523|139.0|
