name,ilce_adi,NDVI,NDBI
Cumalı Mahallesi,Kemalpaşa,0.4940398704189559,-0.11383875336559265
Cumhuriyet Mahallesi,Bayındır,0.3460010352252587,-0.03856994667358523
Cüneytbey Mahallesi,Menderes,0.2092481645107771,0.0384236859484369
Dallık Mahallesi,Tire,0.6403871702321257,-0.1968521224023386
Dalyan Mahallesi,Çeşme,0.2861018844907652,-0.016570668527092
Damlacık Mahallesi,Kemalpaşa,0.5307413022891424,-0.1247236794074223
Dayıemir Mahallesi,Konak,0.1585611785928207,0.0866306877729517
Dağdere Mahallesi,Tire,0.4501809250930063,-0.06327613518039
Dağkızılca Mahallesi,Torbalı,0.5311552940786415,-0.1520728430079598
Dağteke Mahallesi,Torbalı,0.6049670205308378,-0.1902311821443761
Dağıstan Mahallesi,Bergama,0.4250157656654542,-0.0724698885836574
Dedebaşı Mahallesi,Karşıyaka,0.1217236864220546,0.0905895643335227
Deliktaş Mahallesi,Dikili,0.3630183996658911,0.0119474515618588
Demirci Mahallesi,Torbalı,0.4549676443514162,-0.0662543441587846
Demircidere Mahallesi,Bergama,0.6209139650811072,-0.1929630760381072
Demircili Mahallesi,Ödemiş,0.424547802070692,-0.062167163734537054
Demircilik Mahallesi,Bayındır,0.3891638639947035,-0.0085733430182618
Demirdere Mahallesi,Ödemiş,0.4948961315122783,-0.0939196049375759
Demirköprü Mahallesi,Karşıyaka,0.1165673398861607,0.0739497350502233
Demirtaş Mahallesi,Dikili,0.3558155847951832,0.0229877671335635
Denizköy Mahallesi,Dikili,0.4811752692496772,-0.0634573978597293
Denizli Mahallesi,Urla,0.5172116070698942,-0.1349464699156875
Dere Mahallesi,Tire,0.5282752164049022,-0.1430913015762879
Derebaşı Mahallesi,Tire,0.4353247199359408,-0.0464278854493942
Dereköy Hacılar Mahallesi,Bergama,0.5439674826544317,-0.1093739985206911
Dereköy Mahallesi,Bergama,0.5118345279848017,-0.09272809191843215
Dereli Mahallesi,Tire,0.5612380867694852,-0.1309783815534906
Dereuzunyer Mahallesi,Ödemiş,0.4682548503426258,-0.0948213636075694
Dernekli Mahallesi,Bayındır,0.662419027654728,-0.2309353453530199
Develi Mahallesi,Menderes,0.3412801954843441,0.0145893170063083
Devrim Mahallesi,Karabağlar,0.1970034963254112,0.0569743361439741
Değirmencieli Mahallesi,Kınık,0.4712942226787251,-0.0612343693925821
Değirmendere Mahallesi,Menderes,0.46852305897148216,-0.12087036347818131
Dibekçi Mahallesi,Tire,0.4538968051487913,-0.0758191896948134
Dicle Mahallesi,Buca,0.0923404020846537,0.0707732215441595
Dirmil Mahallesi,Torbalı,0.4548696570023644,-0.0683032387318186
Dokuz Eylül Mahallesi,Gaziemir,0.3857383504592971,-0.0383985496495306
Dokuzlar Mahallesi,Kiraz,0.4700125577239771,-0.0669608027955087
Dolaplıkuyu Mahallesi,Konak,0.1214792571071049,0.0985279510607538
Dolaylar Mahallesi,Ödemiş,0.5857633822481284,-0.1643182926335599
Donanmacı Mahallesi,Karşıyaka,0.1660885257215996,0.0376916272978637
Doyranlı Mahallesi,Tire,0.3997740631398738,-0.0075294087026988
Doğa Mahallesi,Menemen,0.3906888096769517,-0.0161545714681683
Doğanay Mahallesi,Karabağlar,0.1154019879481834,0.1114113746879732
Doğancı Mahallesi,Bergama,0.2996971490803534,0.1074626084436026
Doğancılar Mahallesi,Kiraz,0.5071770589294506,-0.07569786211908365
Doğanlar Mahallesi,Bornova,0.1164036153953071,0.0573956806079362
Doğançay Mahallesi,Bayraklı,0.4353983018972022,-0.0537870241306086
Duatepe Mahallesi,Tire,0.31631289511311,-0.032825844512239855
Dumlupınar Mahallesi,Tire,0.2967796201109426,0.016378715276522654
Durmuşlar Mahallesi,Bergama,0.3490836249809956,0.0557043605003964
Dündarlı Mahallesi,Tire,0.463809593261158,-0.0817864225842183
Düverlik Mahallesi,Torbalı,0.5205300901925698,-0.1270498278729968
Düzce Mahallesi,Seferihisar,0.5345564750902378,-0.1007374945749178
Efeler Mahallesi,Buca,0.1784286416661168,0.0489925506635082
Efemçukuru Mahallesi,Menderes,0.4831933637934442,-0.0789078891066792
Ege Mahallesi,Konak,0.1376197973615788,0.0293161245262858
Egekent Mahallesi,Çiğli,0.2800356375319098,-0.0128683410879529
Egemen Mahallesi,Kemalpaşa,0.6298313900801933,-0.2279164060281993
Egemenlik Mahallesi,Bornova,0.2589807545973195,-0.0110330165891536
Elifli Mahallesi,Bayındır,0.4781338250501652,-0.1105002086088758
Elmadere Mahallesi,Kınık,0.4235929722513636,-0.0126357864459067
Emek Mahallesi,Bayraklı,0.1623037925966815,0.04480419497768
Emenler Mahallesi,Kiraz,0.5086459903707836,-0.0481202006882538
Emir Sultan Mahallesi,Konak,0.1555083356171117,0.0415886154841308
Emiralem Merkez Mahallesi,Menemen,0.4157001079318026,-0.0861399043862076
Emirli Mahallesi,Ödemiş,0.5047529153293356,-0.0918933758825664
Emmioğlu Mahallesi,Ödemiş,0.4495158470922726,-0.100095669652209
Emrez Mahallesi,Gaziemir,0.1450533322803752,0.0572667269893584
Ergene Mahallesi,Bornova,0.1888621535269926,0.0245072539089454
Ergenli Mahallesi,Bayındır,0.5162915782727968,-0.1023292112785109
Erikli Mahallesi,Beydağ,0.6538007950922781,-0.1921693985753117
Ertuğrul Mahallesi,Ödemiş,0.31104246245723327,-0.006331347764132626
Erzene Mahallesi,Bornova,0.4330419152862532,-0.0897270955171806
Esatpaşa Mahallesi,Menemen,0.1897466567459687,0.0166287888645126
Esenlik Mahallesi,Karabağlar,0.0903114722070226,0.1185525098343214
Esentepe Mahallesi,Dikili,0.2745176160696036,0.023812345297454466
Esenyalı Mahallesi,Karabağlar,0.2130710607437475,0.0484133315216122
Eskioba Mahallesi,Tire,0.4484077754982557,-0.0549253842923003
Etiler Mahallesi,Konak,0.1108975883567789,0.0818648578177299
Evka 3 Mahallesi,Bornova,0.3617287237329845,-0.0624187335024615
Evka 4 Mahallesi,Bornova,0.2822392136105066,-0.0126110310571337
Evka-2 Mahallesi,Çiğli,0.2850059889115824,-0.0092575436127953
Evka-5 Mahallesi,Çiğli,0.2648974496589355,-0.0020991011599477
Evka-6 Mahallesi,Çiğli,0.2720938144913875,-0.001240139985641
Eğerci Mahallesi,Torbalı,0.3647956678237389,-0.0694567941779575
Eğiller Mahallesi,Bergama,0.3149761695929216,0.0733883721991634
Eğitim Mahallesi,Balçova,0.2011608807135167,0.0354180916824341
Eğlenhoca Mahallesi,Karaburun,0.5674000640044422,-0.1208337099306725
Eğridere Mahallesi,Tire,0.5128876419901779,-0.08377639520205078
Eğrigöl Mahallesi,Bergama,0.3933543460398861,-0.0215608642369853
Fahrettin Altay Mahallesi,Karabağlar,0.2916909156218913,-0.002197959558532
Fahrettinpaşa Mahallesi,Çeşme,0.4252901205056216,-0.0676967756585023
Faik Paşa Mahallesi,Konak,0.1538748679781257,0.1001867932206559
