ILCE,MAHALLE,NUFUS_2025,ARTIS_HIZI_BINDE,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027
Bornova,Kizilay Mah.,15749,8.3,15880,16012
Bornova,Laka Mah.,449,8.3,453,456
Bornova,Meric Mah.,8568,8.3,8639,8711
Bornova,Merkez Mah.,6198,8.3,6249,6301
Bornova,Mevlana Mah.,25747,8.3,25961,26176
Bornova,Naldoken Mah.,10874,8.3,10964,11055
Bornova,Rafet Pasa Mah.,17716,8.3,17863,18011
Bornova,Sarnickoy Mah.,103,8.3,104,105
Bornova,Serintepe Mah.,6397,8.3,6450,6504
Bornova,Tuna Mah.,7200,8.3,7260,7320
Bornova,Yakakoy Mah.,1606,8.3,1619,1633
Bornova,Yesilova Mah.,32289,8.3,32557,32827
Bornova,Yesilcam Mah.,3938,8.3,3971,4004
Bornova,Yunus Emre Mah.,3190,8.3,3216,3243
Bornova,Yildirim Beyazit Mah.,5637,8.3,5684,5731
Bornova,Zafer Mah.,9019,8.3,9094,9169
Bornova,Camici Mah.,295,8.3,297,300
Bornova,Camkule Mah.,6358,8.3,6411,6464
Bornova,Cicekli Mah.,381,8.3,384,387
Bornova,Cinar Mah.,3905,8.3,3937,3970
Bornova,Umit Mah.,4380,8.3,4416,4453
Bornova,Inonu Mah.,26210,8.3,26428,26647
Buca,29 Ekim Mah.,1632,-4.31,1625,1618
Buca,Adatepe Mah.,20517,-4.31,20429,20341
Buca,Akincilar Mah.,11261,-4.31,11212,11164
Buca,Ataturk Mah.,19651,-4.31,19566,19482
Buca,Aydogdu Mah.,9467,-4.31,9426,9386
Buca,Baris Mah.,13169,-4.31,13112,13056
Buca,Belenbasi Mah.,1838,-4.31,1830,1822
Buca,Buca Koop Mah.,19565,-4.31,19481,19397
Buca,Cumhuriyet Mah.,4610,-4.31,4590,4570
Buca,Dicle Mah.,5892,-4.31,5867,5841
Buca,Dogancilar Mah.,326,-4.31,325,323
Buca,Dumlupinar Mah.,4070,-4.31,4052,4035
Buca,Efeler Mah.,19357,-4.31,19274,19191
Buca,Firat Mah.,21027,-4.31,20936,20846
Buca,Gaziler Mah.,6774,-4.31,6745,6716
Buca,Goksu Mah.,29709,-4.31,29581,29453
Buca,Guven Mah.,6549,-4.31,6521,6493
Buca,Hurriyet Mah.,14623,-4.31,14560,14497
Buca,Karacaagac Mah.,1014,-4.31,1010,1005
Buca,Karanfil Mah.,3694,-4.31,3678,3662
Buca,Kaynaklar Merkez Mah.,1891,-4.31,1883,1875
Buca,Kozagac Mah.,21203,-4.31,21112,21021
Buca,Kurucesme Mah.,17407,-4.31,17332,17257
Buca,Kirklar Mah.,3511,-4.31,3496,3481
Buca,Laleli Mah.,6993,-4.31,6963,6933
Buca,Menderes Mah.,13080,-4.31,13024,12967
Buca,Murathan Mah.,3641,-4.31,3625,3610
Buca,Mustafa Kemal Mah.,22106,-4.31,22011,21916
Buca,Seyhan Mah.,2494,-4.31,2483,2473
Buca,Ufuk Mah.,15852,-4.31,15784,15716
Buca,Vali Rahmi Bey Mah.,8838,-4.31,8800,8762
Buca,Yaylacik Mah.,17352,-4.31,17277,17203
Buca,Yenigun Mah.,22055,-4.31,21960,21865
Buca,Yesilbaglar Mah.,19299,-4.31,19216,19133
Buca,Yigitler Mah.,14034,-4.31,13974,13913
Buca,Yildiz Mah.,26517,-4.31,26403,26289
Buca,Yildizlar Mah.,873,-4.31,869,865
Buca,Zafer Mah.,1578,-4.31,1571,1564
Buca,Caldiran Mah.,3298,-4.31,3284,3270
Buca,Camlik Mah.,9316,-4.31,9276,9236
Buca,Camlikule Mah.,21632,-4.31,21539,21446
Buca,Camlipinar Mah.,12209,-4.31,12156,12104
Buca,Cagdas Mah.,2358,-4.31,2348,2338
Buca,Inkilap Mah.,9679,-4.31,9637,9596
Buca,Inonu Mah.,19626,-4.31,19541,19457
Buca,Izkent Mah.,5152,-4.31,5130,5108
Buca,Sirinkapi Mah.,4197,-4.31,4179,4161
Dikili,Bademli Mah.,1313,10.04,1326,1339
Dikili,Bahceli Mah.,753,10.04,761,768
Dikili,Cumhuriyet Mah.,4131,10.04,4172,4214
Dikili,Deliktas Mah.,1447,10.04,1462,1476
Dikili,Demirtas Mah.,263,10.04,266,268
Dikili,Denizkoy Mah.,365,10.04,369,372
Dikili,Esentepe Mah.,268,10.04,271,273
Dikili,Gazipasa Mah.,6236,10.04,6299,6362
Dikili,Gokceagil Mah.,250,10.04,253,255
Dikili,Kabakum Mah.,1932,10.04,1951,1971
Dikili,Katiralani Mah.,134,10.04,135,137
Dikili,Kocaoba Mah.,134,10.04,135,137
Dikili,Kiratli Mah.,680,10.04,687,694
Dikili,Kiroba Mah.,70,10.04,71,71
Dikili,Kizilcukur Mah.,203,10.04,205,207
Dikili,Mazili Mah.,137,10.04,138,140
Dikili,Merdivenli Mah.,198,10.04,200,202
Dikili,Nebiler Mah.,192,10.04,194,196
Dikili,Salihler Mah.,4016,10.04,4056,4097
Dikili,Salimbey Mah.,6341,10.04,6405,6469
Dikili,Samanlikkoy Mah.,81,10.04,82,83
Dikili,Uzunburun Mah.,298,10.04,301,304
Dikili,Yahsibey Mah.,225,10.04,227,230
Dikili,Yaylayurt Mah.,503,10.04,508,513
Dikili,Yenice Mah.,107,10.04,108,109
Dikili,Candarli Mah.,8381,10.04,8465,8550
Dikili,Caglan Mah.,113,10.04,114,115
Dikili,Cukuralani Mah.,107,10.04,108,109
Dikili,Islamlar Mah.,250,10.04,253,255
Dikili,Ismetpasa Mah.,10010,10.04,10111,10212
Foca,Ataturk Mah.,6745,27.5,6930,7121
Foca,Cumhuriyet Mah.,1483,27.5,1524,1566
Foca,Fatih Mah.,778,27.5,799,821
Foca,Fevzi Cakmak Mah.,1810,27.5,1860,1911
Foca,Fevzipasa Mah.,1150,27.5,1182,1214
Foca,Haciveli Mah.,2648,27.5,2721,2796
Foca,Ilipinar Mah.,813,27.5,835,858
Foca,Kazim Dirik Mah.,4047,27.5,4158,4273
Foca,Kemal Ataturk Mah.,898,27.5,923,948
Foca,Koca Mehmetler Mah.,191,27.5,196,202
Foca,Kozbeyli Mah.,875,27.5,899,924
Foca,Maresal Fevzi Cakmak Mah.,878,27.5,902,927
Foca,Mustafa Kemal Ataturk Mah.,6680,27.5,6864,7052
Foca,Yenibagarasi Mah.,5264,27.5,5409,5558
Foca,Yenikoy Mah.,349,27.5,359,368
Foca,Ismetpasa Mah.,3102,27.5,3187,3275
Gaziemir,Aktepe Mah.,5980,2.12,5993,6005
Gaziemir,Ataturk Mah.,6253,2.12,6266,6280
Gaziemir,Atifbey Mah.,15315,2.12,15347,15380
Gaziemir,Beyazevler Mah.,6844,2.12,6859,6873
Gaziemir,Binbasi Resatbey Mah.,3758,2.12,3766,3774
Gaziemir,Dokuz Eylul Mah.,11452,2.12,11476,11501
Gaziemir,Emrez Mah.,5373,2.12,5384,5396
Gaziemir,Fatih Mah.,5678,2.12,5690,5702
Gaziemir,Gazi Mah.,15654,2.12,15687,15720
Gaziemir,Gazikent Mah.,7593,2.12,7609,7625
Gaziemir,Hurriyet Mah.,9959,2.12,9980,10001
Gaziemir,Irmak Mah.,16418,2.12,16453,16488
Gaziemir,Menderes Mah.,7146,2.12,7161,7176
Gaziemir,Sevgi Mah.,7499,2.12,7515,7531
Gaziemir,Yesil Mah.,8864,2.12,8883,8902
Gaziemir,Zafer Mah.,3434,2.12,3441,3449
Guzelbahce,Ataturk Mah.,2906,24.98,2979,3053
Guzelbahce,Kahramandere Mah.,6134,24.98,6287,6444
Guzelbahce,Kucukkaya Mah.,269,24.98,276,283
Guzelbahce,Maltepe Mah.,4313,24.98,4421,4531
Guzelbahce,Mustafa Kemal Pasa Mah.,4220,24.98,4325,4433
Guzelbahce,Payamli Mah.,365,24.98,374,383
Guzelbahce,Siteler Mah.,3002,24.98,3077,3154
Guzelbahce,Yaka Mah.,583,24.98,598,612
Guzelbahce,Yali Mah.,6030,24.98,6181,6335
Guzelbahce,Yelki Mah.,6875,24.98,7047,7223
Guzelbahce,Camli Mah.,2085,24.98,2137,2190
Guzelbahce,Celebi Mah.,2692,24.98,2759,2828
Karabaglar,Abdi Ipekci Mah.,7130,-11.66,7047,6965
Karabaglar,Adnan Suvari Mah.,3940,-11.66,3894,3849
Karabaglar,Ali Fuat Cebesoy Mah.,12421,-11.66,12276,12133
Karabaglar,Ali Fuat Erden Mah.,2224,-11.66,2198,2172
Karabaglar,Arap Hasan Mah.,9192,-11.66,9085,8979
Karabaglar,Aydin Mah.,8106,-11.66,8011,7918
Karabaglar,Asik Veysel Mah.,1703,-11.66,1683,1664
Karabaglar,Bahar Mah.,10609,-11.66,10485,10363
Karabaglar,Bahriye Ucok Mah.,2673,-11.66,2642,2611
Karabaglar,Bahcelievler Mah.,13896,-11.66,13734,13574
Karabaglar,Baris Mah.,7428,-11.66,7341,7256
Karabaglar,Basin Sitesi Mah.,15698,-11.66,15515,15334
Karabaglar,Bozyaka Mah.,15577,-11.66,15395,15216
Karabaglar,Cennetoglu Mah.,3833,-11.66,3788,3744
Karabaglar,Cennetcesme Mah.,3105,-11.66,3069,3033
Karabaglar,Devrim Mah.,8020,-11.66,7926,7834
Karabaglar,Doganay Mah.,10396,-11.66,10275,10155
Karabaglar,Esenlik Mah.,7894,-11.66,7802,7711
Karabaglar,Esentepe Mah.,5353,-11.66,5291,5229
Karabaglar,Esenyali Mah.,7027,-11.66,6945,6864
Karabaglar,Fahrettin Altay Mah.,9518,-11.66,9407,9297
Karabaglar,Gazi Mah.,4079,-11.66,4031,3984
Karabaglar,General Asim Gunduz Mah.,1642,-11.66,1623,1604
Karabaglar,General Kazim Ozalp Mah.,4999,-11.66,4941,4883
Karabaglar,Gulyaka Mah.,11153,-11.66,11023,10894
Karabaglar,Gunaltay Mah.,20818,-11.66,20575,20335
Karabaglar,Karabaglar Mah.,7621,-11.66,7532,7444
Karabaglar,Kavacik Mah.,713,-11.66,705,696
Karabaglar,Kazim Karabekir Mah.,11841,-11.66,11703,11566
Karabaglar,Kibar Mah.,5553,-11.66,5488,5424
Karabaglar,Limontepe Mah.,4534,-11.66,4481,4429
Karabaglar,Maliyeciler Mah.,5804,-11.66,5736,5669
