ILCE,MAHALLE,NUFUS,ALAN_M2,LST_C,NDVI,NDBI,KISI_BASI_M2
BALCOVA,TELEFERIK,8432,5835.0,31.08297653168273,0.561392742818313,-0.189770398976378,0.69
BAYINDIR,ALANKIYI,389,2000.0,25.80199660332081,0.6881277981236429,-0.2495581246887491,5.14
BAYINDIR,ALANKOY,146,9554.0,31.19088506066205,0.5877115005237614,-0.1286055921380068,65.44
BAYINDIR,ARIKBASI,818,9886.0,38.12195764897684,0.4977872813065011,-0.0996889751825077,12.09
BAYINDIR,BALCILAR,310,3018.0,26.205993394053987,0.6819049501939382,-0.2412254976573603,9.74
BAYINDIR,BIYIKLAR,572,2025.0,39.536899768427126,0.2580985661401235,0.0550527770534193,3.54
BAYINDIR,BURUNCUK,476,3500.0,38.21672188514817,0.3986682444481031,-0.0537727218781333,7.35
BAYINDIR,CAMII,581,6985.0,39.71743064955298,0.1932278756446818,0.1133214012460919,12.02
BAYINDIR,CAMLIBEL,292,800.0,29.515315680986244,0.6416775340426328,-0.2249549862306694,2.74
BAYINDIR,CENIKLER,57,750.0,35.74127606186364,0.5167055219043918,-0.0860986664998736,13.16
BAYINDIR,CIFTCIGEDIGI,213,728.0,39.44263383193095,0.4510589535269979,-0.0856890886492516,3.42
BAYINDIR,CINARDIBI,731,6743.0,29.33015703504537,0.6272204103115588,-0.2027784735670735,9.22
BAYINDIR,CUMHURIYET,747,10740.0,35.56841546509645,0.3460010352252587,-0.0385699466735852,14.38
BAYINDIR,DEMIRCILIK,857,3000.0,39.64802836828285,0.3891638639947035,-0.0085733430182618,3.5
BAYINDIR,DERNEKLI,149,400.0,30.957230087633764,0.662419027654728,-0.2309353453530199,2.68
BAYINDIR,ELIFLI,294,2300.0,36.53350250787954,0.4781338250501652,-0.1105002086088758,7.82
BAYINDIR,ERGENLI,488,1200.0,35.09242262147772,0.5162915782727968,-0.1023292112785109,2.46
BAYINDIR,FIRINLI,1057,6500.0,36.40259251120111,0.4662798242462823,-0.0917686485992528,6.15
BAYINDIR,GAZILER,56,1200.0,34.279251623875055,0.3596806829912836,-0.0204252164837195,21.43
BAYINDIR,HACIIBRAHIM,1351,2410.0,37.70203815604072,0.4496122814878038,-0.0113546329625117,1.78
BAYINDIR,HASKOY,772,11500.0,34.8913272990162,0.4724298781318377,-0.1380605694470857,14.9
BAYINDIR,HATAY,616,500.0,39.33148560907309,0.3992705256881853,0.004343654933058,0.81
BAYINDIR,HAVUZBASI,394,4430.0,37.187584142936245,0.3886949983132438,-0.0663950204639511,11.24
BAYINDIR,IBRAHIMCAVUS,618,4542.0,39.294456064766514,0.3729322394162377,-0.0732937260405031,7.35
BAYINDIR,KABAAGAC,74,900.0,30.00107491056924,0.6554102527422755,-0.2027481280182298,12.16
BAYINDIR,KARAHALILLI,440,1500.0,37.81189916684914,0.4528655002543972,-0.0857848259337589,3.41
BAYINDIR,KARAHAYIT,32,500.0,33.52386321956527,0.5077630098950422,-0.0782305693471787,15.62
BAYINDIR,KARAPINAR,63,500.0,34.5124893381527,0.4923297400649939,-0.0631659243468387,7.94
BAYINDIR,KIZILCAAGAC,218,2140.0,30.10914923463758,0.6461427506737938,-0.2142887173731627,9.82
BAYINDIR,KIZILCAOVA,935,8900.0,37.52028233552984,0.4861561279494037,-0.1237006312720463,9.52
BAYINDIR,KIZILKECILI,518,1500.0,28.87072427110496,0.6380971075165477,-0.1980626315859595,2.9
BAYINDIR,KIZILOBA,641,2400.0,27.532558702459923,0.685476866821336,-0.2471632424135317,3.74
BAYINDIR,KURT,732,1250.0,39.112426173013226,0.1893875663816033,0.106543733170752,1.71
BAYINDIR,LUTUFLAR,422,1600.0,32.72358215648712,0.5282774620550225,-0.1135509050100604,3.79
BAYINDIR,MEKTEP,931,8000.0,38.82219838111944,0.4022293143583125,-0.1029398364615643,8.59
BAYINDIR,NECATIUZA,1350,3000.0,39.24964005183103,0.3430035110289629,-0.0849235952939013,2.22
BAYINDIR,ORTA,226,400.0,39.40736379414426,0.2390898763331453,0.0786257169657538,1.77
BAYINDIR,OSMANLAR,279,850.0,30.41850799826948,0.6399569879871392,-0.1994928893361816,3.05
